file,name,DIST_CODE,VIL_CODE,QRTR_CODE,QRTR_NM_E,QRTR_NM_G,VIL_CCD,QRTR_CCD,polygons,vertices,centroid_lon,centroid_lat,bytes,simplified_tolerance_deg
LEFKOSIA_LEFKOSIA_AG_KONST_AND_ELENIS.kml,"LEFKOSIA, LEFKOSIA AG KONST. AND ELENIS",1,0,15,AG KONST. AND ELENIS,ΑΓ ΚΩΝΣΤ. ΚΑΙ ΕΛΕΝΗΣ,1000,100015,1,123,33.3767,35.1644,7339,
LEFKOSIA_LEFKOSIA_AMPNTI_TSAOUS.kml,"LEFKOSIA, LEFKOSIA AMPNTI TSAOUS",1,0,24,AMPNTI TSAOUS,ΑΜΠΝΤΙ ΤΣΑΟΥΣ,1000,100024,1,96,33.3636,35.1791,6283,
LEFKOSIA_LEFKOSIA_AMPOU_KAVOUK.kml,"LEFKOSIA, LEFKOSIA AMPOU KAVOUK",1,0,22,AMPOU KAVOUK,ΑΜΠΟΥ ΚΑΒΟΥΚ,1000,100022,1,128,33.3643,35.1812,7492,
LEFKOSIA_LEFKOSIA_ARAP_ACHMET.kml,"LEFKOSIA, LEFKOSIA ARAP ACHMET",1,0,17,ARAP ACHMET,ΑΡΑΠ ΑΧΜΕΤ,1000,100017,1,361,33.3537,35.18,16275,
LEFKOSIA_LEFKOSIA_CHADAR_PASA.kml,"LEFKOSIA, LEFKOSIA CHADAR PASA",1,0,27,CHADAR PASA,ΧΑΪΔΑΡ ΠΑΣΑ,1000,100027,1,105,33.3667,35.1778,6619,
LEFKOSIA_LEFKOSIA_CHRYSALINIOTISSA.kml,"LEFKOSIA, LEFKOSIA CHRYSALINIOTISSA",1,0,11,CHRYSALINIOTISSA,ΧΡΥΣΑΛΙΝΙΩΤΙΣΣΑ,1000,100011,1,124,33.3695,35.1765,7358,
LEFKOSIA_LEFKOSIA_FANEROMENI.kml,"LEFKOSIA, LEFKOSIA FANEROMENI",1,0,5,FANEROMENI,ΦΑΝΕΡΩΜΕΝΗ,1000,100005,1,92,33.3627,35.1735,6115,
LEFKOSIA_LEFKOSIA_GENI_TZAMI.kml,"LEFKOSIA, LEFKOSIA GENI TZAMI",1,0,18,GENI TZAMI,ΓΕΝΙ ΤΖΑΜΙ,1000,100018,1,248,33.3681,35.1803,12018,
LEFKOSIA_LEFKOSIA_IMPRACHIM_PASA.kml,"LEFKOSIA, LEFKOSIA IMPRACHIM PASA",1,0,20,IMPRACHIM PASA,ΙΜΠΡΑΧΙΜ ΠΑΣΑ,1000,100020,1,76,33.3613,35.1796,5531,
LEFKOSIA_LEFKOSIA_IPL_BAZAR_KORK_EF.kml,"LEFKOSIA, LEFKOSIA IPL.BAZAR & KORK. EF",1,0,25,IPL.BAZAR & KORK. EF,ΙΠΛ. ΠΑΖΑΡ & ΚΟΡΚ.ΕΦ,1000,100025,1,119,33.3614,35.1765,7214,
