file,name,DIST_CODE,VIL_CODE,VIL_CCD,VIL_NM_E,VIL_NM_G,polygons,vertices,centroid_lon,centroid_lat,bytes,simplified_tolerance_deg
GALINOPORNI.kml,GALINOPORNI,3,355,3355,GALINOPORNI,ΓΑΛΗΝΟΠOΡΝΗ,1,1244,34.315,35.5287,49420,
GASTRIA.kml,GASTRIA,3,323,3323,GASTRIA,ΓΑΣΤΡΙΑ,2,811,33.9864,35.3347,33270,
GENAGRA.kml,GENAGRA,3,218,3218,GENAGRA,ΓΕΝΑΓΡΑ,1,856,33.6932,35.2097,34763,
GERAKIES.kml,GERAKIES,1,425,1425,GERAKIES,ΓΕΡΑΚΙΕΣ,1,1458,32.7894,35.017,57500,
GERANI.kml,GERANI,3,326,3326,GERANI,ΓΕΡΑΝΙ,1,1156,33.9221,35.3573,46064,
GERASA.kml,GERASA,5,105,5105,GERASA,ΓΕΡΑΣΑ,1,441,32.9926,34.8025,19047,
GEROLAKKOS.kml,GEROLAKKOS,1,245,1245,GEROLAKKOS,ΓΕΡΟΛΑΚΚΟΣ,1,2269,33.2524,35.1987,88123,
GEROVASA.kml,GEROVASA,5,321,5321,GEROVASA,ΓΕΡΟΒΑΣΑ,1,430,32.736,34.8148,18663,
GIOLOU.kml,GIOLOU,6,331,6331,GIOLOU,ΓΙΟΛΟΥ,1,886,32.4784,34.9295,35870,
GOUDI.kml,GOUDI,6,345,6345,GOUDI,ΓΟΥΔΙ,1,589,32.4459,34.9921,24655,
GOUFES.kml,GOUFES,3,224,3224,GOUFES,ΓΟΥΦΕΣ,1,253,33.6943,35.277,11945,
GOURRI.kml,GOURRI,1,204,1204,GOURRI,ΓΟΥΡΡΗ,1,1789,33.1596,34.9562,69995,
GYPSOU.kml,GYPSOU,3,220,3220,GYPSOU,ΓΥΨΟΥ,1,1175,33.7913,35.2872,46755,
KAKOPETRIA.kml,KAKOPETRIA,1,404,1404,KAKOPETRIA,ΚΑΚΟΠΕΤΡΙΑ,1,1569,32.9098,34.9585,61662,
KALAVASOS.kml,KALAVASOS,4,302,4302,KALAVASOS,ΚΑΛΑΒΑΣΟΣ,1,983,33.2942,34.7659,39562,
KALIANA.kml,KALIANA,1,408,1408,KALIANA,ΚΑΛΙΑΝΑ,1,613,32.8748,35.0049,25560,
KALLEPEIA.kml,KALLEPEIA,6,124,6124,KALLEPEIA,ΚΑΛΛΕΠΕΙΑ,1,1157,32.5112,34.8343,46109,
KALOGRAIA.kml,KALOGRAIA,2,200,2200,KALOGRAIA,ΚΑΛΟΓΡΑΙΑ,1,737,33.6337,35.3442,30267,
KALOPANAGIOTIS.kml,KALOPANAGIOTIS,1,424,1424,KALOPANAGIOTIS,ΚΑΛΟΠΑΝΑΓΙΩΤΗΣ,1,2275,32.8301,35.0193,88385,
KALOPSIDA.kml,KALOPSIDA,3,113,3113,KALOPSIDA,ΚΑΛΟΨΙΔΑ,1,656,33.7987,35.0979,27215,
KALO_CHORIO_KAPOUTI.kml,KALO CHORIO KAPOUTI,1,357,1357,KALO CHORIO KAPOUTI,ΚΑΛΟ ΧΩΡΙΟ ΚΑΠΟΥΤΗ,1,1209,33.0286,35.2483,48151,
KALO_CHORIO_LARNAKAS.kml,KALO CHORIO LARNAKAS,4,210,4210,KALO CHORIO LARNAKAS,ΚΑΛΟ ΧΩΡΙΟ ΛΑΡΝΑΚΑΣ,1,775,33.5356,34.9198,31741,
KALO_CHORIO_LEMESOU.kml,KALO CHORIO LEMESOU,5,146,5146,KALO CHORIO LEMESOU,ΚΑΛΟ ΧΩΡΙΟ ΛΕΜΕΣΟΥ,1,1300,33.0321,34.8467,51617,
KALO_CHORIO_OREINIS.kml,KALO CHORIO OREINIS,1,207,1207,KALO CHORIO OREINIS,ΚΑΛΟ ΧΩΡΙΟ ΟΡΕΙΝΗΣ,1,1138,33.158,35.0036,45446,
KALO_CHORIO_SOLEAS.kml,KALO CHORIO SOLEAS,1,433,1433,KALO CHORIO SOLEAS,ΚΑΛΟ ΧΩΡΙΟ ΣΟΛΕΑΣ,1,609,32.8723,35.1181,25469,
KALYVAKIA.kml,KALYVAKIA,1,143,1143,KALYVAKIA,ΚΑΛΥΒΑΚΙΑ,1,1359,33.5406,35.2575,53735,
KAMINARIA.kml,KAMINARIA,5,343,5343,KAMINARIA,ΚΑΜΙΝΑΡΙΑ,1,570,32.7813,34.9283,23937,
KAMPI.kml,KAMPI,1,200,1200,KAMPI,ΚΑΜΠΙ,1,1180,33.1272,34.9031,46980,
KAMPIA.kml,KAMPIA,1,223,1223,KAMPIA,ΚΑΜΠΙΑ,1,1192,33.2475,34.995,47445,
KAMPOS.kml,KAMPOS,1,427,1427,KAMPOS,ΚΑΜΠΟΣ,1,2070,32.727,35.0496,80608,
KAMPYLI.kml,KAMPYLI,2,124,2124,KAMPYLI,ΚΑΜΠΥΛΗ,1,882,33.105,35.3052,35705,
KANLI.kml,KANLI,1,250,1250,KANLI,ΚΑΝΛΙ,1,768,33.2559,35.2359,31412,
KANNAVIA.kml,KANNAVIA,1,403,1403,KANNAVIA,ΚΑΝΝΑΒΙΑ,1,902,32.9819,34.9857,36506,
KANNAVIOU_MELAMIOU.kml,KANNAVIOU - MELAMIOU,6,302,6302,KANNAVIOU - MELAMIOU,ΚΑΝΝΑΒΙΟΥ-ΜΕΛΑΜΙΟΥ,1,504,32.5727,34.9077,21496,
KAPEDES.kml,KAPEDES,1,220,1220,KAPEDES,ΚΑΠΕΔΕΣ,1,1141,33.2638,34.9834,45510,
KAPILEIO.kml,KAPILEIO,5,110,5110,KAPILEIO,ΚΑΠΗΛΕΙΟ,1,619,32.9634,34.8255,25811,
KARAKOUMI.kml,KARAKOUMI,2,209,2209,KARAKOUMI,ΚΑΡΑΚΟΥΜΙ,1,147,33.3419,35.3338,7975,
KARAMOULLIDES.kml,KARAMOULLIDES,6,340,6340,KARAMOULLIDES,ΚΑΡΑΜΟΥΛΛΗΔΕΣ,1,104,32.443,34.9997,6375,
KARAVOSTASI.kml,KARAVOSTASI,1,439,1439,KARAVOSTASI,ΚΑΡΑΒΟΣΤΑΣΙ,1,971,32.8213,35.1415,39134,
KARMI.kml,KARMI,2,211,2211,KARMI,ΚΑΡΜΙ,1,907,33.2704,35.3221,36668,
KARPASEIA.kml,KARPASEIA,2,125,2125,KARPASEIA,ΚΑΡΠΑΣΕΙΑ,1,547,33.0685,35.285,23071,
KATALIONTAS.kml,KATALIONTAS,1,221,1221,KATALIONTAS,ΚΑΤΑΛΙΟΝΤΑΣ,1,537,33.303,34.9919,22728,
KATOKOPIA.kml,KATOKOPIA,1,364,1364,KATOKOPIA,ΚΑΤΩΚΟΠΙΑ,1,424,33.0584,35.1646,18443,
KATO_AKOURDALEIA.kml,KATO AKOURDALEIA,6,334,6334,KATO AKOURDALEIA,ΚΑΤΩ ΑΚΟΥΡΔΑΛΕΙΑ,1,390,32.4567,34.9594,17172,
KATO_DEFTERA.kml,KATO DEFTERA,1,233,1233,KATO DEFTERA,ΚΑΤΩ ΔΕΥΤΕΡΑ,1,1158,33.2851,35.0971,46188,
KATO_DIKOMO.kml,KATO DIKOMO,2,101,2101,KATO DIKOMO,ΚΑΤΩ ΔΙΚΩΜΟ,1,1408,33.3164,35.2582,55613,
KATO_DRYS.kml,KATO DRYS,4,312,4312,KATO DRYS,ΚΑΤΩ ΔΡΥΣ,1,908,33.2939,34.8401,36727,
KATO_KIVIDES.kml,KATO KIVIDES,5,303,5303,KATO KIVIDES,ΚΑΤΩ ΚΙΒΙΔΕΣ,1,340,32.874,34.7662,15280,
KATO_KOUTRAFAS.kml,KATO KOUTRAFAS,1,329,1329,KATO KOUTRAFAS,ΚΑΤΩ ΚΟΥΤΡΑΦΑΣ,1,1401,32.962,35.0936,55350,
